Process Id		Arrival Time		Burst Time		Completion Time		Turn Around Time		Waiting Time		Response Time
0000000004		000000000015		0000000001		000000000000016		0000000000000001		000000000000		0000000000000
0000000018		000000000047		0000000015		000000000000062		0000000000000015		000000000000		0000000000000
0000000014		000000000075		0000000020		000000000000095		0000000000000020		000000000000		0000000000000
0000000009		000000000115		0000000019		000000000000134		0000000000000019		000000000000		0000000000000
0000000019		000000000156		0000000006		000000000000162		0000000000000006		000000000000		0000000000000
0000000016		000000000163		0000000011		000000000000174		0000000000000011		000000000000		0000000000000
0000000008		000000000184		0000000003		000000000000187		0000000000000003		000000000000		0000000000000
0000000001		000000000199		0000000001		000000000000200		0000000000000001		000000000000		0000000000000
0000000013		000000000221		0000000007		000000000000228		0000000000000007		000000000000		0000000000000
0000000006		000000000228		0000000007		000000000000235		0000000000000007		000000000000		0000000000000
0000000007		000000000249		0000000003		000000000000252		0000000000000003		000000000000		0000000000000
0000000003		000000000270		0000000002		000000000000274		0000000000000004		000000000002		0000000000002
0000000011		000000000260		0000000016		000000000000279		0000000000000019		000000000003		0000000000000
0000000010		000000000344		0000000005		000000000000349		0000000000000005		000000000000		0000000000000
0000000020		000000000370		0000000008		000000000000378		0000000000000008		000000000000		0000000000000
0000000017		000000000381		0000000014		000000000000395		0000000000000014		000000000000		0000000000000
0000000012		000000000436		0000000016		000000000000452		0000000000000016		000000000000		0000000000000
0000000005		000000000461		0000000007		000000000000477		0000000000000016		000000000009		0000000000004
0000000015		000000000460		0000000016		000000000000484		0000000000000024		000000000008		0000000000000
0000000002		000000000492		0000000015		000000000000507		0000000000000015		000000000000		0000000000000
