Milli Seconds		Process Id		Status
0000000000001		0000000002		Arrived
0000000000001		0000000003		Arrived
0000000000001		0000000007		Arrived
0000000000001		0000000010		Arrived
0000000000001		0000000012		Arrived
0000000000001		0000000013		Arrived
0000000000001		0000000014		Arrived
0000000000001		0000000025		Arrived
0000000000001		0000000026		Arrived
0000000000001		0000000028		Arrived
0000000000001		0000000034		Arrived
0000000000001		0000000038		Arrived
0000000000001		0000000049		Arrived
0000000000001		0000000053		Arrived
0000000000001		0000000057		Arrived
0000000000001		0000000077		Arrived
0000000000001		0000000081		Arrived
0000000000001		0000000082		Arrived
0000000000001		0000000099		Arrived
0000000000001		0000000049		Running
0000000000002		0000000008		Arrived
0000000000002		0000000009		Arrived
0000000000002		0000000016		Arrived
0000000000002		0000000017		Arrived
0000000000002		0000000019		Arrived
0000000000002		0000000030		Arrived
0000000000002		0000000031		Arrived
0000000000002		0000000036		Arrived
0000000000002		0000000039		Arrived
0000000000002		0000000043		Arrived
0000000000002		0000000044		Arrived
0000000000002		0000000046		Arrived
0000000000002		0000000048		Arrived
0000000000002		0000000055		Arrived
0000000000002		0000000059		Arrived
0000000000002		0000000061		Arrived
0000000000002		0000000068		Arrived
0000000000002		0000000073		Arrived
0000000000002		0000000078		Arrived
0000000000002		0000000083		Arrived
0000000000002		0000000085		Arrived
0000000000002		0000000089		Arrived
0000000000002		0000000090		Arrived
0000000000002		0000000094		Arrived
0000000000002		0000000095		Arrived
0000000000002		0000000097		Arrived
0000000000002		0000000049		Exit
0000000000002		0000000057		Running
0000000000003		0000000020		Arrived
0000000000003		0000000024		Arrived
0000000000003		0000000027		Arrived
0000000000003		0000000033		Arrived
0000000000003		0000000035		Arrived
0000000000003		0000000050		Arrived
0000000000003		0000000052		Arrived
0000000000003		0000000058		Arrived
0000000000003		0000000064		Arrived
0000000000003		0000000066		Arrived
0000000000003		0000000071		Arrived
0000000000003		0000000080		Arrived
0000000000003		0000000086		Arrived
0000000000003		0000000088		Arrived
0000000000003		0000000091		Arrived
0000000000003		0000000100		Arrived
0000000000003		0000000057		Exit
0000000000003		0000000009		Running
0000000000004		0000000004		Arrived
0000000000004		0000000005		Arrived
0000000000004		0000000006		Arrived
0000000000004		0000000021		Arrived
0000000000004		0000000023		Arrived
0000000000004		0000000029		Arrived
0000000000004		0000000032		Arrived
0000000000004		0000000037		Arrived
0000000000004		0000000045		Arrived
0000000000004		0000000054		Arrived
0000000000004		0000000056		Arrived
0000000000004		0000000060		Arrived
0000000000004		0000000062		Arrived
0000000000004		0000000063		Arrived
0000000000004		0000000070		Arrived
0000000000004		0000000072		Arrived
0000000000004		0000000074		Arrived
0000000000004		0000000075		Arrived
0000000000004		0000000009		Exit
0000000000004		0000000030		Running
0000000000005		0000000001		Arrived
0000000000005		0000000011		Arrived
0000000000005		0000000015		Arrived
0000000000005		0000000018		Arrived
0000000000005		0000000022		Arrived
0000000000005		0000000040		Arrived
0000000000005		0000000041		Arrived
0000000000005		0000000042		Arrived
0000000000005		0000000047		Arrived
0000000000005		0000000051		Arrived
0000000000005		0000000065		Arrived
0000000000005		0000000067		Arrived
0000000000005		0000000069		Arrived
0000000000005		0000000076		Arrived
0000000000005		0000000079		Arrived
0000000000005		0000000084		Arrived
0000000000005		0000000087		Arrived
0000000000005		0000000092		Arrived
0000000000005		0000000093		Arrived
0000000000005		0000000096		Arrived
0000000000005		0000000098		Arrived
0000000000005		0000000030		Exit
0000000000005		0000000046		Running
0000000000006		0000000046		Exit
0000000000006		0000000048		Running
0000000000007		0000000048		Exit
0000000000007		0000000085		Running
0000000000008		0000000085		Exit
0000000000008		0000000088		Running
0000000000009		0000000088		Exit
0000000000009		0000000021		Running
0000000000010		0000000021		Exit
0000000000010		0000000029		Running
0000000000011		0000000029		Exit
0000000000011		0000000070		Running
0000000000012		0000000070		Exit
0000000000012		0000000074		Running
0000000000013		0000000074		Exit
0000000000013		0000000015		Running
0000000000014		0000000015		Exit
0000000000014		0000000018		Running
0000000000015		0000000018		Exit
0000000000015		0000000040		Running
0000000000016		0000000040		Exit
0000000000016		0000000067		Running
0000000000017		0000000067		Exit
0000000000017		0000000096		Running
0000000000018		0000000096		Exit
0000000000018		0000000003		Running
0000000000019		0000000003		Running
0000000000020		0000000003		Exit
0000000000020		0000000025		Running
